pull_date,pull_time,location,update_time,pct_full,date,time,wday
12/22/22,13:18,Nick Level 1 Fitness,Updated 9 minutes ago,7.33,12/22/22,13:09,Thursday
12/22/22,13:18,Nick Level 2 Fitness,Updated 9 minutes ago,5,12/22/22,13:09,Thursday
12/22/22,13:18,Nick Level 3 Fitness,Updated 9 minutes ago,13,12/22/22,13:09,Thursday
12/22/22,13:18,Nick Power House,Updated 9 minutes ago,6.43,12/22/22,13:09,Thursday
12/22/22,13:18,Nick Track,Updated 9 minutes ago,3,12/22/22,13:09,Thursday
12/22/22,13:18,Soderholm Family Aquatic Center,Updated 9 minutes ago,3.04,12/22/22,13:09,Thursday
12/22/22,13:47,Nick Level 1 Fitness,Updated 38 minutes ago,7.33,12/22/22,13:09,Thursday
12/22/22,13:47,Nick Level 2 Fitness,Updated 38 minutes ago,5,12/22/22,13:09,Thursday
12/22/22,13:47,Nick Level 3 Fitness,Updated 38 minutes ago,13,12/22/22,13:09,Thursday
12/22/22,13:47,Nick Power House,Updated 38 minutes ago,6.43,12/22/22,13:09,Thursday
12/22/22,13:47,Nick Track,Updated 38 minutes ago,3,12/22/22,13:09,Thursday
12/22/22,13:47,Soderholm Family Aquatic Center,Updated 38 minutes ago,3.04,12/22/22,13:09,Thursday
12/22/22,13:59,Nick Level 1 Fitness,Updated 50 minutes ago,7.33,12/22/22,13:09,Thursday
12/22/22,13:59,Nick Level 2 Fitness,Updated 50 minutes ago,5,12/22/22,13:09,Thursday
12/22/22,13:59,Nick Level 3 Fitness,Updated 50 minutes ago,13,12/22/22,13:09,Thursday
12/22/22,13:59,Nick Power House,Updated 50 minutes ago,6.43,12/22/22,13:09,Thursday
12/22/22,13:59,Nick Track,Updated 50 minutes ago,3,12/22/22,13:09,Thursday
12/22/22,13:59,Soderholm Family Aquatic Center,Updated 50 minutes ago,3.04,12/22/22,13:09,Thursday
12/22/22,14:00,Nick Level 1 Fitness,Updated 51 minutes ago,7.33,12/22/22,13:09,Thursday
12/22/22,14:00,Nick Level 2 Fitness,Updated 51 minutes ago,5,12/22/22,13:09,Thursday
12/22/22,14:00,Nick Level 3 Fitness,Updated 51 minutes ago,13,12/22/22,13:09,Thursday
12/22/22,14:00,Nick Power House,Updated 51 minutes ago,6.43,12/22/22,13:09,Thursday
12/22/22,14:00,Nick Track,Updated 51 minutes ago,3,12/22/22,13:09,Thursday
12/22/22,14:00,Soderholm Family Aquatic Center,Updated 51 minutes ago,3.04,12/22/22,13:09,Thursday
12/23/22,17:26,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,17:26,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,17:26,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,17:26,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,17:26,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,17:26,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,17:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,17:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,17:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,17:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,17:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,17:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,18:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,18:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,18:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,18:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,18:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,18:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,18:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,18:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,18:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,18:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,18:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,18:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,19:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,19:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,19:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,19:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,19:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,19:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,21:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,21:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,21:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,21:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,21:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,21:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/23/22,22:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/23/22,22:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/23/22,22:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/23/22,22:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/23/22,22:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/23/22,22:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,6:59,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,6:59,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,6:59,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,6:59,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,6:59,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,6:59,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,7:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,7:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,7:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,7:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
12/24/22,7:00,Nick Track,Updated over an hour ago,4,n/a,n/a,n/a
12/24/22,7:00,Soderholm Family Aquatic Center,Currently closed,0,n/a,n/a,n/a
12/24/22,9:00,Nick Level 1 Fitness,Updated over an hour ago,12.67,n/a,n/a,n/a
12/24/22,9:00,Nick Level 2 Fitness,Updated over an hour ago,5,n/a,n/a,n/a
12/24/22,9:00,Nick Level 3 Fitness,Updated over an hour ago,23,n/a,n/a,n/a
12/24/22,9:00,Nick Power House,Updated over an hour ago,24.29,n/a,n/a,n/a
